esterel
m3_p1, 0.31, 7.45, 10.82
m3_p2, 0.11, 9.06, 8.06
m3_p3, 0.05, 9.58, 7.58
m3_p4, 0.02, 9.84, 5.94
m3_p5, 0.01, 9.93, 5.35
m3_p6, 0.0, 10.0, 4.84
m3_p7, 0.0, 10.0, 4.68
adaptable
m3_p1, 0.44, 5.6, 8.41
m3_p2, 0.22, 7.81, 6.99
m3_p3, 0.04, 9.6, 3.65
m3_p4, 0.04, 9.6, 2.98
m3_p5, 0.0, 10.0, 2.22
m3_p6, 0.0, 10.0, 2.23
m3_p7, 0.0, 10.0, 1.66
