esterel, 
Problem, Replans, Replans_std_dev, Actions, Actions_std_dev, 
m4_p1, 10.0, 0.0, 9.28614457831, 4.40194143692, 
m4_p2, 10.0, 0.0, 8.01305483029, 5.56090562963, 
m4_p3, 10.0, 0.0, 7.65897435897, 6.68294902086, 
m4_p4, 10.0, 0.0, 7.32315521628, 7.50168923321, 
m4_p5, 10.0, 0.0, 7.06, 8.17129163704, 
adaptable, 
Problem, Replans, Replans_std_dev, Actions, Actions_std_dev, 
m4_p1, 10.0, 0.0, 5.05395683453, 5.21251986551, 
m4_p2, 10.0, 0.0, 3.70028818444, 6.11083398966, 
m4_p3, 10.0, 0.0, 3.43324250681, 6.89026151266, 
m4_p4, 10.0, 0.0, 2.89295039164, 7.53965041575, 
m4_p5, 10.0, 0.0, 2.7420212766, 8.08197315992, 
