esterel
Problem, Success, Replans, Replans_std_dev, Actions, Actions_std_dev,
m4_p1, 0.17, 8.665, 3.05632586933, 10.9325, 5.87402794177, 
m4_p2, 0.0425, 9.645, 3.64765863724, 8.41, 7.61266916591, 
m4_p3, 0.025, 9.7825, 3.94189072734, 7.8875, 8.76794793709, 
m4_p4, 0.0175, 9.8425, 4.13660837185, 7.4725, 9.59540734442, 
m4_p5, 0.0, 10.0, 4.20287525404, 7.06, 10.3235380852, 
adaptable
Problem, Success, Replans, Replans_std_dev, Actions, Actions_std_dev,
m4_p1, 0.301507537688, 6.98994974874, 4.58778352585, 8.23618090452, 7.26084683166, 
m4_p2, 0.123737373737, 8.76262626263, 5.93217246537, 4.99242424242, 9.56159449474, 
m4_p3, 0.0732323232323, 9.26767676768, 6.65670369251, 4.26515151515, 10.9069112359, 
m4_p4, 0.0376884422111, 9.62311557789, 7.07703960958, 3.33668341709, 11.9968339688, 
m4_p5, 0.0552763819095, 9.4472361809, 7.35447209091, 3.35427135678, 12.567078148, 
